=== Portion Estimation Evaluation ===
Acai: MAE = 0.35g, RMSE = 0.49g
Acerola: MAE = 0.51g, RMSE = 0.71g
Alphabet Soup: MAE = 0.31g, RMSE = 0.45g
Amaranth: MAE = 0.45g, RMSE = 0.63g
Apple: MAE = 8.19g, RMSE = 20.56g
Applesauce: MAE = 0.40g, RMSE = 0.54g
Apricot: MAE = 0.36g, RMSE = 0.48g
Arby's Grand Turkey Club: MAE = 0.41g, RMSE = 0.58g
Arby's Reuben: MAE = 0.33g, RMSE = 0.48g
Arby's Roast Beef Classic: MAE = 0.39g, RMSE = 0.52g
Arby's Roast Beef Max: MAE = 0.34g, RMSE = 0.45g
Artichoke: MAE = 0.32g, RMSE = 0.49g
Arugula: MAE = 0.44g, RMSE = 0.62g
Asian Pear: MAE = 0.42g, RMSE = 0.58g
Asparagus: MAE = 0.27g, RMSE = 0.35g
Aubergine: MAE = 0.27g, RMSE = 0.39g
Avocado: MAE = 0.38g, RMSE = 0.50g
BBQ Chicken Pizza: MAE = 0.53g, RMSE = 0.71g
BBQ Pizza: MAE = 0.68g, RMSE = 0.95g
BBQ Rib: MAE = 0.25g, RMSE = 0.31g
BBQ Ribs: MAE = 0.29g, RMSE = 0.42g
BLT: MAE = 0.37g, RMSE = 0.50g
Baby Back Ribs: MAE = 0.44g, RMSE = 0.64g
Bacon and Eggs: MAE = 0.28g, RMSE = 0.41g
Baked Beans: MAE = 0.47g, RMSE = 0.67g
Banana: MAE = 8.60g, RMSE = 27.01g
Barley: MAE = 0.47g, RMSE = 0.64g
Barley Groats: MAE = 0.39g, RMSE = 0.53g
Baskin-Robbins: MAE = 0.35g, RMSE = 0.48g
Bean Burrito: MAE = 0.31g, RMSE = 0.44g
Bean Stew: MAE = 0.40g, RMSE = 0.53g
Beef Bouillon: MAE = 0.41g, RMSE = 0.57g
Beef Noodle Soup: MAE = 0.36g, RMSE = 0.51g
Beef Pizza: MAE = 0.35g, RMSE = 0.53g
Beef Soup: MAE = 0.62g, RMSE = 0.80g
Beef Stew: MAE = 0.28g, RMSE = 0.39g
Beetroot: MAE = 0.34g, RMSE = 0.42g
Bell Pepper: MAE = 0.51g, RMSE = 0.70g
Ben and Jerry's: MAE = 0.38g, RMSE = 0.52g
Bianca Pizza: MAE = 0.22g, RMSE = 0.30g
Biryani: MAE = 0.61g, RMSE = 0.79g
Black Olives: MAE = 0.42g, RMSE = 0.53g
Black Pudding: MAE = 0.38g, RMSE = 0.52g
Black Rice: MAE = 0.53g, RMSE = 0.67g
Blackberries: MAE = 0.53g, RMSE = 0.74g
Blood Oranges: MAE = 0.44g, RMSE = 0.59g
Blueberries: MAE = 3.01g, RMSE = 5.44g
Bouillon: MAE = 0.34g, RMSE = 0.44g
Bratwurst: MAE = 0.26g, RMSE = 0.35g
Bread: MAE = 6.89g, RMSE = 13.58g
Breadfruit: MAE = 0.30g, RMSE = 0.40g
Broccoli: MAE = 3.28g, RMSE = 5.01g
Broccoli Cheese Soup: MAE = 0.24g, RMSE = 0.34g
Broccoli Soup: MAE = 0.57g, RMSE = 0.84g
Brown Rice: MAE = 0.51g, RMSE = 0.69g
Brussels Sprouts: MAE = 0.41g, RMSE = 0.54g
Buckwheat: MAE = 0.44g, RMSE = 0.60g
Buckwheat Groats: MAE = 0.39g, RMSE = 0.51g
Buffalo Chicken Pizza: MAE = 0.26g, RMSE = 0.34g
Burger King Angry Whopper: MAE = 0.53g, RMSE = 0.71g
Burger King Double Whopper: MAE = 0.40g, RMSE = 0.56g
Burger King Double Whopper with Cheese: MAE = 0.47g, RMSE = 0.68g
Burger King Original Chicken Sandwich: MAE = 0.37g, RMSE = 0.51g
Burger King Premium Alaskan Fish Sandwich: MAE = 0.34g, RMSE = 0.44g
Burger King Triple Whopper: MAE = 0.25g, RMSE = 0.43g
Burger King Whopper: MAE = 0.51g, RMSE = 0.68g
Burger King Whopper Jr.: MAE = 0.33g, RMSE = 0.42g
Burger King Whopper with Cheese: MAE = 0.45g, RMSE = 0.61g
Burrito: MAE = 0.28g, RMSE = 0.37g
Butter Chicken: MAE = 0.29g, RMSE = 0.40g
Butter Pecan Ice Cream: MAE = 0.41g, RMSE = 0.53g
Cabbage: MAE = 0.47g, RMSE = 0.67g
Cabbage Soup: MAE = 0.27g, RMSE = 0.39g
Calabrese Pizza: MAE = 0.45g, RMSE = 0.70g
California Roll: MAE = 0.43g, RMSE = 0.59g
Calzone: MAE = 0.42g, RMSE = 0.60g
Cannelloni: MAE = 0.36g, RMSE = 0.51g
Cantaloupe: MAE = 7.28g, RMSE = 13.40g
Cantaloupe Melon: MAE = 0.33g, RMSE = 0.42g
Capellini: MAE = 0.30g, RMSE = 0.38g
Cappelletti: MAE = 0.29g, RMSE = 0.38g
Capricciosa Pizza: MAE = 0.37g, RMSE = 0.46g
Capsicum: MAE = 0.35g, RMSE = 0.50g
Carrot: MAE = 7.95g, RMSE = 15.11g
Carrot Ginger Soup: MAE = 0.40g, RMSE = 0.51g
Carrot Soup: MAE = 0.57g, RMSE = 0.72g
Carvel: MAE = 0.39g, RMSE = 0.54g
Casaba Melon: MAE = 0.41g, RMSE = 0.69g
Cauliflower: MAE = 3.13g, RMSE = 5.60g
Celery: MAE = 0.36g, RMSE = 0.49g
Cellophane Noodles: MAE = 0.38g, RMSE = 0.50g
Chard: MAE = 0.37g, RMSE = 0.52g
Cheese Pizza: MAE = 0.54g, RMSE = 0.72g
Cheese Tortellini: MAE = 0.32g, RMSE = 0.43g
Cheeseburger: MAE = 0.37g, RMSE = 0.52g
Cherimoya: MAE = 0.51g, RMSE = 0.70g
Cherries: MAE = 0.36g, RMSE = 0.49g
Cherry Tomato: MAE = 6.17g, RMSE = 10.19g
Chicken Bouillon: MAE = 0.42g, RMSE = 0.58g
Chicken Breast: MAE = 4.20g, RMSE = 6.85g
Chicken Broth: MAE = 0.31g, RMSE = 0.43g
Chicken Caesar Salad: MAE = 0.50g, RMSE = 0.71g
Chicken Fajita: MAE = 0.45g, RMSE = 0.61g
Chicken Fried Steak: MAE = 0.40g, RMSE = 0.57g
Chicken Gumbo Soup: MAE = 0.30g, RMSE = 0.40g
Chicken Marsala: MAE = 0.52g, RMSE = 0.72g
Chicken McNuggets: MAE = 0.31g, RMSE = 0.43g
Chicken Noodle Soup: MAE = 0.41g, RMSE = 0.55g
